cnpj;nome;nome_reduzido;tipo;uf;situacao;banco;agencia;conta
00102575000115;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ABADIA DOS DOURADOS;APAE DE ABADIA DOS DOURADOS;apae;MG;;001;0539-8;110246-X
40188865000148;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ACARAU;APAE DE ACARAU;apae;CE;;001;1010-3;41125-6
00952968000118;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE AGRESTINA;APAE DE AGRESTINA;apae;PE;;001;0196-1;19294-5
18261257000162;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE AGUAS BELAS;APAE DE AGUAS BELAS;apae;PE;;001;1012-X;31499-4
00832170000132;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTA FLORESTA;APAE DE ALTA FLORESTA;apae;MT;;001;1177-0;60386-4
07666839000102;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTINHO;APAE DE ALTINHO;apae;PE;;001;1421-4;15742-2
44409012000140;ASSOCIACAO DOS PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTO ALEGRE;APAE DE ALTO ALEGRE;apae;RR;;104;4322;577498559-4
15943517000191;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTO ARAGUAIA;APAE DE ALTO ARAGUAIA;apae;MT;;001;0512-6;23103-3
07851955000100;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ALTO SANTO;APAE DE ALTO SANTO;apae;CE;;001;1074;30783
80884331000170;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE AMPERE;APAE DE AMPERE;apae;PR;;001;1434-6;27669-3
01520258000181;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ANAHY;APAE DE ANAHY;apae;PR;;748;072-6;68993-9
03640682000195;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ANANINDEUA;APAE DE ANANINDEUA;apae;PA;;001;1436-2;77000-0
07537944000141;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE APIACAS;APAE DE APIACAS;apae;MT;;748;0821;2344-8
48923248000150;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ARACAGI;APAE DE ARACAGI;apae;PB;;001;1455-9;16175-6
18575647000107;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ARAGUARI;APAE DE ARAGUARI;apae;MG;;756;4264;24926-2
16739798000128;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ARAPIRACA;APAE DE ARAPIRACA;apae;AL;;104;0056-0;578590515-5
00887340000186;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ARAPORA;APAE DE ARAPORA;apae;MG;;001;1043-X;18071-8
